{'source': 'update alpha beta', 'w2': 1.0, 'w1': 0.05000000000000001, 'time': 40.37933397293091, 'mean_alpha': 0.5402290254054386, 'LL': -10.733226051938978, 'clock': 40.377347, 'outer_iter': 0, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 1.0, 'w1': 0.05000000000000001, 'time': 87.2146348953247, 'mean_alpha': 0.51319913704628584, 'LL': -10.581526112646461, 'clock': 87.210738, 'outer_iter': 0, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 1.0, 'w1': 0.05000000000000001, 'time': 133.63773703575134, 'mean_alpha': 0.50207006838115731, 'LL': -10.560959222171221, 'clock': 133.63195, 'outer_iter': 0, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.0019355273806312, 'w1': 0.049633576117255634, 'time': 212.6434450149536, 'mean_alpha': 0.50207006838115731, 'LL': -10.351151138488394, 'clock': 212.633511, 'outer_iter': 0, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 1.0049997377334174, 'w1': 0.04948108683271888, 'time': 292.3290958404541, 'mean_alpha': 0.50207006838115731, 'LL': -10.199095294411805, 'clock': 292.31601700000004, 'outer_iter': 0, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 1.0088439894263335, 'w1': 0.049401196396745367, 'time': 371.53463792800903, 'mean_alpha': 0.50207006838115731, 'LL': -10.084550972909295, 'clock': 371.518593, 'outer_iter': 0, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.0129029126989069, 'w1': 0.049590188907696335, 'time': 450.6839609146118, 'mean_alpha': 0.50207006838115731, 'LL': -9.9972577632937494, 'clock': 450.664805, 'outer_iter': 0, 'inner_iter': 3}
{'source': 'update w1 w2', 'w2': 1.0165741952574296, 'w1': 0.049811092303673907, 'time': 535.9426639080048, 'mean_alpha': 0.50207006838115731, 'LL': -9.9306142762351364, 'clock': 535.913868, 'outer_iter': 0, 'inner_iter': 4}
{'source': 'update w1 w2', 'w2': 1.0200005676609905, 'w1': 0.050103191710202104, 'time': 617.908087015152, 'mean_alpha': 0.50207006838115731, 'LL': -9.8798313350182276, 'clock': 617.875846, 'outer_iter': 0, 'inner_iter': 5}
{'source': 'update w1 w2', 'w2': 1.0230726570308628, 'w1': 0.050522112987912003, 'time': 698.1849639415741, 'mean_alpha': 0.50207006838115731, 'LL': -9.8413714193815451, 'clock': 698.149576, 'outer_iter': 0, 'inner_iter': 6}
{'source': 'update w1 w2', 'w2': 1.0258751628007281, 'w1': 0.050842203107705382, 'time': 780.9323999881744, 'mean_alpha': 0.50207006838115731, 'LL': -9.8125802537766518, 'clock': 780.893766, 'outer_iter': 0, 'inner_iter': 7}
{'source': 'update w1 w2', 'w2': 1.0284325577718352, 'w1': 0.051289909911807624, 'time': 862.664274930954, 'mean_alpha': 0.50207006838115731, 'LL': -9.7914386815454186, 'clock': 862.622324, 'outer_iter': 0, 'inner_iter': 8}
{'source': 'update w1 w2', 'w2': 1.0307557526284126, 'w1': 0.051577991019621676, 'time': 942.665992975235, 'mean_alpha': 0.50207006838115731, 'LL': -9.7763919114461117, 'clock': 942.620912, 'outer_iter': 0, 'inner_iter': 9}
{'source': 'update w1 w2', 'w2': 1.032903555369687, 'w1': 0.051928893002571141, 'time': 1022.5815768241882, 'mean_alpha': 0.50207006838115731, 'LL': -9.7662297405301466, 'clock': 1022.5333400000001, 'outer_iter': 0, 'inner_iter': 10}
{'source': 'update w1 w2', 'w2': 1.0349233827233426, 'w1': 0.052177296923081873, 'time': 1104.687311887741, 'mean_alpha': 0.50207006838115731, 'LL': -9.7600010868856302, 'clock': 1104.635085, 'outer_iter': 0, 'inner_iter': 11}
{'source': 'update w1 w2', 'w2': 1.036843565065406, 'w1': 0.052432102754587491, 'time': 1191.856652021408, 'mean_alpha': 0.50207006838115731, 'LL': -9.7550690133076401, 'clock': 1191.8007479999999, 'outer_iter': 0, 'inner_iter': 12}
{'source': 'update w1 w2', 'w2': 1.0386250108286765, 'w1': 0.05265053335135636, 'time': 1271.6927239894867, 'mean_alpha': 0.50207006838115731, 'LL': -9.7486281838499167, 'clock': 1271.6334359999998, 'outer_iter': 0, 'inner_iter': 13}
{'source': 'update w1 w2', 'w2': 1.0403549811550861, 'w1': 0.052873085280139752, 'time': 1352.9076499938965, 'mean_alpha': 0.50207006838115731, 'LL': -9.7451218325130498, 'clock': 1352.8451909999999, 'outer_iter': 0, 'inner_iter': 14}
{'source': 'update w1 w2', 'w2': 1.0419480344914629, 'w1': 0.052982459091293975, 'time': 1433.8170280456543, 'mean_alpha': 0.50207006838115731, 'LL': -9.7385595017560505, 'clock': 1433.751245, 'outer_iter': 0, 'inner_iter': 15}
{'source': 'update w1 w2', 'w2': 1.0435306259850334, 'w1': 0.053217832941900273, 'time': 1515.5241119861603, 'mean_alpha': 0.50207006838115731, 'LL': -9.7343632309842008, 'clock': 1515.454925, 'outer_iter': 0, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 1.0449736809518275, 'w1': 0.053296432631034084, 'time': 1599.041235923767, 'mean_alpha': 0.50207006838115731, 'LL': -9.7294957159523889, 'clock': 1598.9685519999998, 'outer_iter': 0, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 1.046394261462759, 'w1': 0.053518984559817462, 'time': 1686.3866219520569, 'mean_alpha': 0.50207006838115731, 'LL': -9.7251008537803045, 'clock': 1686.278797, 'outer_iter': 0, 'inner_iter': 18}
{'source': 'update w1 w2', 'w2': 1.0477435855643085, 'w1': 0.053529700023055182, 'time': 1776.7731189727783, 'mean_alpha': 0.50207006838115731, 'LL': -9.7212854769602046, 'clock': 1776.6612659999998, 'outer_iter': 0, 'inner_iter': 19}
{'source': 'update w1 w2', 'w2': 1.0490501807591013, 'w1': 0.053677270298413342, 'time': 1877.4304699897766, 'mean_alpha': 0.50207006838115731, 'LL': -9.7167512013306521, 'clock': 1877.1774409999998, 'outer_iter': 0, 'inner_iter': 20}
{'source': 'update w1 w2', 'w2': 1.0503159448540571, 'w1': 0.05371513503629663, 'time': 2046.826043844223, 'mean_alpha': 0.50207006838115731, 'LL': -9.7138189488173659, 'clock': 2046.5352449999998, 'outer_iter': 0, 'inner_iter': 21}
{'source': 'update w1 w2', 'w2': 1.0515261178001347, 'w1': 0.053814047004644795, 'time': 2219.404965877533, 'mean_alpha': 0.50207006838115731, 'LL': -9.7091897570178674, 'clock': 2218.833553, 'outer_iter': 0, 'inner_iter': 22}
{'source': 'update w1 w2', 'w2': 1.052688333428226, 'w1': 0.053868594046013275, 'time': 2382.5250759124756, 'mean_alpha': 0.50207006838115731, 'LL': -9.7059521510640252, 'clock': 2381.926446, 'outer_iter': 0, 'inner_iter': 23}
{'source': 'update w1 w2', 'w2': 1.0538286471204683, 'w1': 0.053951256190989949, 'time': 2549.994444847107, 'mean_alpha': 0.50207006838115731, 'LL': -9.7022733781691493, 'clock': 2548.811516, 'outer_iter': 0, 'inner_iter': 24}
{'source': 'update w1 w2', 'w2': 1.0549338509890254, 'w1': 0.053989721956458687, 'time': 2647.517504930496, 'mean_alpha': 0.50207006838115731, 'LL': -9.6989099684819102, 'clock': 2646.250599, 'outer_iter': 0, 'inner_iter': 25}
{'source': 'update w1 w2', 'w2': 1.0559998279452099, 'w1': 0.054009771679772507, 'time': 2737.316524028778, 'mean_alpha': 0.50207006838115731, 'LL': -9.6959196330068451, 'clock': 2736.031559, 'outer_iter': 0, 'inner_iter': 26}
{'source': 'update w1 w2', 'w2': 1.0570501168722752, 'w1': 0.054051418824340156, 'time': 2823.740800857544, 'mean_alpha': 0.50207006838115731, 'LL': -9.6924614323545626, 'clock': 2822.45092, 'outer_iter': 0, 'inner_iter': 27}
{'source': 'update w1 w2', 'w2': 1.0580436749133111, 'w1': 0.054097704553118464, 'time': 2907.070780992508, 'mean_alpha': 0.50207006838115731, 'LL': -9.6900683381459345, 'clock': 2905.764959, 'outer_iter': 0, 'inner_iter': 28}
{'source': 'update w1 w2', 'w2': 1.0590241397995623, 'w1': 0.054122432545205511, 'time': 2989.5331070423126, 'mean_alpha': 0.50207006838115731, 'LL': -9.6865399661239664, 'clock': 2988.222022, 'outer_iter': 0, 'inner_iter': 29}
{'source': 'update alpha beta', 'w2': 1.0590241397995623, 'w1': 0.054122432545205511, 'time': 3035.903295993805, 'mean_alpha': 0.49173511123825758, 'LL': -9.5257916866083434, 'clock': 3034.589539, 'outer_iter': 1, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 1.0590241397995623, 'w1': 0.054122432545205511, 'time': 3082.12638092041, 'mean_alpha': 0.47629592013003452, 'LL': -9.516432918869576, 'clock': 3080.810031, 'outer_iter': 1, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 1.0590241397995623, 'w1': 0.054122432545205511, 'time': 3128.5863099098206, 'mean_alpha': 0.46198947674716578, 'LL': -9.5212172744100982, 'clock': 3127.267417, 'outer_iter': 1, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.0649004099191557, 'w1': 0.058375647184176829, 'time': 3212.090057849884, 'mean_alpha': 0.46198947674716578, 'LL': -9.4684107985693338, 'clock': 3210.766183, 'outer_iter': 1, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 1.0692298692003956, 'w1': 0.059698594760833591, 'time': 3294.536371946335, 'mean_alpha': 0.46198947674716578, 'LL': -9.4387656350007951, 'clock': 3293.198319, 'outer_iter': 1, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 1.0733822697177808, 'w1': 0.060510814193231073, 'time': 3377.3128428459167, 'mean_alpha': 0.46198947674716578, 'LL': -9.4200400963860318, 'clock': 3375.970233, 'outer_iter': 1, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.0766781578059541, 'w1': 0.060528477044721821, 'time': 3459.7989840507507, 'mean_alpha': 0.46198947674716578, 'LL': -9.4088744321368694, 'clock': 3458.4506690000003, 'outer_iter': 1, 'inner_iter': 3}
{'source': 'update w1 w2', 'w2': 1.0801186457716647, 'w1': 0.060828510015377937, 'time': 3542.3022499084473, 'mean_alpha': 0.46198947674716578, 'LL': -9.4031904205324466, 'clock': 3540.9493820000002, 'outer_iter': 1, 'inner_iter': 4}
{'source': 'update w1 w2', 'w2': 1.082823269906185, 'w1': 0.060650777572252325, 'time': 3629.8053238391876, 'mean_alpha': 0.46198947674716578, 'LL': -9.4015217082946663, 'clock': 3628.426778, 'outer_iter': 1, 'inner_iter': 5}
{'source': 'update w1 w2', 'w2': 1.085848812467423, 'w1': 0.060957695591685609, 'time': 3716.6062128543854, 'mean_alpha': 0.46198947674716578, 'LL': -9.3979353490638466, 'clock': 3715.22222, 'outer_iter': 1, 'inner_iter': 6}
{'source': 'update w1 w2', 'w2': 1.0882117094890738, 'w1': 0.060732396108225888, 'time': 3799.5135810375214, 'mean_alpha': 0.46198947674716578, 'LL': -9.3956477409284886, 'clock': 3798.1248330000003, 'outer_iter': 1, 'inner_iter': 7}
{'source': 'update w1 w2', 'w2': 1.090939597458255, 'w1': 0.06100049960138014, 'time': 3881.7938220500946, 'mean_alpha': 0.46198947674716578, 'LL': -9.3945405391420067, 'clock': 3880.3957720000003, 'outer_iter': 1, 'inner_iter': 8}
{'source': 'update w1 w2', 'w2': 1.0930315855888186, 'w1': 0.060690163300687751, 'time': 3964.28355884552, 'mean_alpha': 0.46198947674716578, 'LL': -9.3918650827491952, 'clock': 3962.872507, 'outer_iter': 1, 'inner_iter': 9}
{'source': 'update w1 w2', 'w2': 1.0955302903130426, 'w1': 0.061024579955579188, 'time': 4046.9814038276672, 'mean_alpha': 0.46198947674716578, 'LL': -9.3912576977328186, 'clock': 4045.565629, 'outer_iter': 1, 'inner_iter': 10}
{'source': 'update w1 w2', 'w2': 1.0973736497231676, 'w1': 0.060734588048376593, 'time': 4129.647181034088, 'mean_alpha': 0.46198947674716578, 'LL': -9.3895877516365154, 'clock': 4128.226844, 'outer_iter': 1, 'inner_iter': 11}
{'source': 'update w1 w2', 'w2': 1.0996249721331792, 'w1': 0.061016272132150731, 'time': 4212.305819034576, 'mean_alpha': 0.46198947674716578, 'LL': -9.3886133431252112, 'clock': 4210.880711, 'outer_iter': 1, 'inner_iter': 12}
{'source': 'update w1 w2', 'w2': 1.101345628249236, 'w1': 0.06078753820534559, 'time': 4294.648533821106, 'mean_alpha': 0.46198947674716578, 'LL': -9.3884344507531594, 'clock': 4293.20932, 'outer_iter': 1, 'inner_iter': 13}
{'source': 'update w1 w2', 'w2': 1.1033980515924604, 'w1': 0.061051633160835207, 'time': 4375.048712015152, 'mean_alpha': 0.46198947674716578, 'LL': -9.3872023556638489, 'clock': 4373.582343, 'outer_iter': 1, 'inner_iter': 14}
{'source': 'update w1 w2', 'w2': 1.104992056005456, 'w1': 0.060850004917663937, 'time': 4455.471537828445, 'mean_alpha': 0.46198947674716578, 'LL': -9.3872073704948633, 'clock': 4453.9786970000005, 'outer_iter': 1, 'inner_iter': 15}
{'source': 'update w1 w2', 'w2': 1.1068494029666607, 'w1': 0.061080799510476326, 'time': 4535.574255943298, 'mean_alpha': 0.46198947674716578, 'LL': -9.3867312342314548, 'clock': 4534.0562660000005, 'outer_iter': 1, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 1.1083790059057592, 'w1': 0.060932431557954081, 'time': 4615.603741884232, 'mean_alpha': 0.46198947674716578, 'LL': -9.3864962398482135, 'clock': 4614.056492, 'outer_iter': 1, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 1.1100997330792644, 'w1': 0.061059482275918543, 'time': 4700.709156990051, 'mean_alpha': 0.46198947674716578, 'LL': -9.3870029205587073, 'clock': 4699.151576, 'outer_iter': 1, 'inner_iter': 18}
{'source': 'update w1 w2', 'w2': 1.1115051072962112, 'w1': 0.060965515905987776, 'time': 4784.193524837494, 'mean_alpha': 0.46198947674716578, 'LL': -9.3864803650986701, 'clock': 4782.600329, 'outer_iter': 1, 'inner_iter': 19}
{'source': 'update w1 w2', 'w2': 1.1130845080811256, 'w1': 0.061077190708961518, 'time': 4867.6266939640045, 'mean_alpha': 0.46198947674716578, 'LL': -9.3869560311728364, 'clock': 4866.006231, 'outer_iter': 1, 'inner_iter': 20}
{'source': 'update w1 w2', 'w2': 1.114432956399622, 'w1': 0.06097673324110791, 'time': 4953.230756998062, 'mean_alpha': 0.46198947674716578, 'LL': -9.38646828019818, 'clock': 4951.587065, 'outer_iter': 1, 'inner_iter': 21}
{'source': 'update w1 w2', 'w2': 1.115897902597506, 'w1': 0.061092130537514097, 'time': 5036.807448863983, 'mean_alpha': 0.46198947674716578, 'LL': -9.3869164140099599, 'clock': 5035.159576, 'outer_iter': 1, 'inner_iter': 22}
{'source': 'update w1 w2', 'w2': 1.1171561210184053, 'w1': 0.060995400450820671, 'time': 5123.132982969284, 'mean_alpha': 0.46198947674716578, 'LL': -9.3864590273464188, 'clock': 5121.481317, 'outer_iter': 1, 'inner_iter': 23}
{'source': 'update w1 w2', 'w2': 1.1185260517800275, 'w1': 0.061105616644122923, 'time': 5210.959138870239, 'mean_alpha': 0.46198947674716578, 'LL': -9.3868825721794913, 'clock': 5209.303964, 'outer_iter': 1, 'inner_iter': 24}
{'source': 'update w1 w2', 'w2': 1.1197349758376163, 'w1': 0.060994340679731231, 'time': 5297.275439023972, 'mean_alpha': 0.46198947674716578, 'LL': -9.3864519201191143, 'clock': 5295.616791, 'outer_iter': 1, 'inner_iter': 25}
{'source': 'update w1 w2', 'w2': 1.1210255096949158, 'w1': 0.061138030363480256, 'time': 5382.055698871613, 'mean_alpha': 0.46198947674716578, 'LL': -9.3868533823564206, 'clock': 5380.393162, 'outer_iter': 1, 'inner_iter': 26}
{'source': 'update w1 w2', 'w2': 1.1221974863725146, 'w1': 0.061031309555525659, 'time': 5467.861027956009, 'mean_alpha': 0.46198947674716578, 'LL': -9.3864464579553086, 'clock': 5466.194791, 'outer_iter': 1, 'inner_iter': 27}
{'source': 'update w1 w2', 'w2': 1.1234148644444921, 'w1': 0.061125149115240585, 'time': 5552.514750957489, 'mean_alpha': 0.46198947674716578, 'LL': -9.3868279871440414, 'clock': 5550.844645, 'outer_iter': 1, 'inner_iter': 28}
{'source': 'update w1 w2', 'w2': 1.1245078416947394, 'w1': 0.061033655544518527, 'time': 5635.895103931427, 'mean_alpha': 0.46198947674716578, 'LL': -9.3864422701844319, 'clock': 5634.221128, 'outer_iter': 1, 'inner_iter': 29}
{'source': 'update alpha beta', 'w2': 1.1245078416947394, 'w1': 0.061033655544518527, 'time': 5682.849874973297, 'mean_alpha': 0.45972771932288964, 'LL': -9.367920970012122, 'clock': 5681.173638, 'outer_iter': 2, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 1.1245078416947394, 'w1': 0.061033655544518527, 'time': 5730.303845882416, 'mean_alpha': 0.44946956657406961, 'LL': -9.3664703662451778, 'clock': 5728.625037, 'outer_iter': 2, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 1.1245078416947394, 'w1': 0.061033655544518527, 'time': 5780.105309009552, 'mean_alpha': 0.43970412899981809, 'LL': -9.3657632670069262, 'clock': 5778.423527, 'outer_iter': 2, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.1305819357510292, 'w1': 0.066705357729573825, 'time': 5865.644171953201, 'mean_alpha': 0.43970412899981809, 'LL': -9.3533524164306527, 'clock': 5863.958655, 'outer_iter': 2, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 1.1339511246728888, 'w1': 0.065607022747707702, 'time': 5948.90102481842, 'mean_alpha': 0.43970412899981809, 'LL': -9.3543011581014568, 'clock': 5947.211939, 'outer_iter': 2, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 1.1386247151773397, 'w1': 0.067400753250637005, 'time': 6029.150002002716, 'mean_alpha': 0.43970412899981809, 'LL': -9.3530217776235247, 'clock': 6027.457599, 'outer_iter': 2, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 1.1412670777603553, 'w1': 0.065653897238202349, 'time': 6114.0136868953705, 'mean_alpha': 0.43970412899981809, 'LL': -9.3538976142419301, 'clock': 6112.317381, 'outer_iter': 2, 'inner_iter': 3}
{'source': 'update w1 w2', 'w2': 1.1453834641764453, 'w1': 0.067259568191054331, 'time': 6196.520880937576, 'mean_alpha': 0.43970412899981809, 'LL': -9.3528208698163056, 'clock': 6194.821002, 'outer_iter': 2, 'inner_iter': 4}
{'source': 'update w1 w2', 'w2': 1.1476058924652679, 'w1': 0.065435878774634942, 'time': 6281.294406890869, 'mean_alpha': 0.43970412899981809, 'LL': -9.3536228218372983, 'clock': 6279.589947, 'outer_iter': 2, 'inner_iter': 5}
{'source': 'update w1 w2', 'w2': 1.1513412738581812, 'w1': 0.066947195467484191, 'time': 6369.444407939911, 'mean_alpha': 0.43970412899981809, 'LL': -9.3526916869901058, 'clock': 6367.735987, 'outer_iter': 2, 'inner_iter': 6}
{'source': 'update w1 w2', 'w2': 1.1533044016744247, 'w1': 0.065448404391541759, 'time': 6455.759258031845, 'mean_alpha': 0.43970412899981809, 'LL': -9.3534262365923979, 'clock': 6454.046839000001, 'outer_iter': 2, 'inner_iter': 7}
{'source': 'update w1 w2', 'w2': 1.1566114452477498, 'w1': 0.066758987972155029, 'time': 6539.949297904968, 'mean_alpha': 0.43970412899981809, 'LL': -9.3526050086114623, 'clock': 6538.2333340000005, 'outer_iter': 2, 'inner_iter': 8}
{'source': 'update w1 w2', 'w2': 1.1583349862962165, 'w1': 0.065374220415280626, 'time': 6622.938946008682, 'mean_alpha': 0.43970412899981809, 'LL': -9.3532800801290215, 'clock': 6621.219481, 'outer_iter': 2, 'inner_iter': 9}
{'source': 'update w1 w2', 'w2': 1.1613694641823264, 'w1': 0.066563519082324121, 'time': 6703.565116882324, 'mean_alpha': 0.43970412899981809, 'LL': -9.3525449058791068, 'clock': 6701.842243, 'outer_iter': 2, 'inner_iter': 10}
{'source': 'update w1 w2', 'w2': 1.1629104676892053, 'w1': 0.065404675453154079, 'time': 6789.155169963837, 'mean_alpha': 0.43970412899981809, 'LL': -9.3531680109078188, 'clock': 6787.428169, 'outer_iter': 2, 'inner_iter': 11}
{'source': 'update w1 w2', 'w2': 1.1656187203877819, 'w1': 0.066407771827815418, 'time': 6872.213928937912, 'mean_alpha': 0.43970412899981809, 'LL': -9.3525021427374604, 'clock': 6870.482565, 'outer_iter': 2, 'inner_iter': 12}
{'source': 'update w1 w2', 'w2': 1.1670302766027505, 'w1': 0.065404227482282931, 'time': 6955.570209026337, 'mean_alpha': 0.43970412899981809, 'LL': -9.3530798798621078, 'clock': 6953.835518, 'outer_iter': 2, 'inner_iter': 13}
{'source': 'update w1 w2', 'w2': 1.1694902172555697, 'w1': 0.066312239351719135, 'time': 7044.592386960983, 'mean_alpha': 0.43970412899981809, 'LL': -9.352471091407363, 'clock': 7042.841936, 'outer_iter': 2, 'inner_iter': 14}
{'source': 'update w1 w2', 'w2': 1.1708017519128016, 'w1': 0.065473389773997165, 'time': 7130.412005901337, 'mean_alpha': 0.43970412899981809, 'LL': -9.3530090986561163, 'clock': 7128.654083, 'outer_iter': 2, 'inner_iter': 15}
{'source': 'update w1 w2', 'w2': 1.1730813064426036, 'w1': 0.066210650278814537, 'time': 7217.168313026428, 'mean_alpha': 0.43970412899981809, 'LL': -9.3524481801344415, 'clock': 7215.404501, 'outer_iter': 2, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 1.174369811458853, 'w1': 0.06548382393997039, 'time': 7305.368911981583, 'mean_alpha': 0.43970412899981809, 'LL': -9.3529512300645052, 'clock': 7303.596607, 'outer_iter': 2, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 1.176477659611928, 'w1': 0.066105434499675694, 'time': 7392.725847005844, 'mean_alpha': 0.43970412899981809, 'LL': -9.3518613941413733, 'clock': 7390.943167, 'outer_iter': 2, 'inner_iter': 18}
