{'source': 'update alpha beta', 'w2': 0.49790901636046092, 'w1': 0.50066559079447226, 'time': 19.82531189918518, 'mean_alpha': 0.40312250291994695, 'LL': -11.226756288129728, 'clock': 19.81327, 'outer_iter': 0, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 0.49790901636046092, 'w1': 0.50066559079447226, 'time': 41.4563889503479, 'mean_alpha': 0.40504185970320905, 'LL': -10.731429029034846, 'clock': 41.444250000000004, 'outer_iter': 0, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 0.49790901636046092, 'w1': 0.50066559079447226, 'time': 62.951495885849, 'mean_alpha': 0.4036850752029717, 'LL': -10.730542258950642, 'clock': 62.940886, 'outer_iter': 0, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 0.49886216805545236, 'w1': 0.49496016862020736, 'time': 105.22712707519531, 'mean_alpha': 0.4036850752029717, 'LL': -10.707553878134906, 'clock': 105.21921099999999, 'outer_iter': 0, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 0.49992341104918792, 'w1': 0.48979201827401542, 'time': 150.2304871082306, 'mean_alpha': 0.4036850752029717, 'LL': -10.688461858922658, 'clock': 150.225628, 'outer_iter': 0, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 0.50107992021756653, 'w1': 0.48504424379330324, 'time': 193.19007301330566, 'mean_alpha': 0.4036850752029717, 'LL': -10.67243264524059, 'clock': 193.188288, 'outer_iter': 0, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 0.50210259931888068, 'w1': 0.48074157317015787, 'time': 235.42005801200867, 'mean_alpha': 0.4036850752029717, 'LL': -10.658851218795704, 'clock': 235.421307, 'outer_iter': 0, 'inner_iter': 3}
{'source': 'update w1 w2', 'w2': 0.50320546776596276, 'w1': 0.4766762912710481, 'time': 279.69095611572266, 'mean_alpha': 0.4036850752029717, 'LL': -10.647253943293173, 'clock': 279.695241, 'outer_iter': 0, 'inner_iter': 4}
{'source': 'update w1 w2', 'w2': 0.50419613294894994, 'w1': 0.47295472846194819, 'time': 321.96180295944214, 'mean_alpha': 0.4036850752029717, 'LL': -10.636429651943843, 'clock': 321.969021, 'outer_iter': 0, 'inner_iter': 5}
{'source': 'update w1 w2', 'w2': 0.50518961639574111, 'w1': 0.46946662698990538, 'time': 363.7614870071411, 'mean_alpha': 0.4036850752029717, 'LL': -10.625896276934547, 'clock': 363.771663, 'outer_iter': 0, 'inner_iter': 6}
{'source': 'update w1 w2', 'w2': 0.50610180454828524, 'w1': 0.46621764358513562, 'time': 405.55489206314087, 'mean_alpha': 0.4036850752029717, 'LL': -10.616370659873137, 'clock': 405.567971, 'outer_iter': 0, 'inner_iter': 7}
{'source': 'update w1 w2', 'w2': 0.50708962275849934, 'w1': 0.46319301971090993, 'time': 447.3596000671387, 'mean_alpha': 0.4036850752029717, 'LL': -10.606699433753469, 'clock': 447.375669, 'outer_iter': 0, 'inner_iter': 8}
{'source': 'update w1 w2', 'w2': 0.50793408368827175, 'w1': 0.46033199102643918, 'time': 489.2305119037628, 'mean_alpha': 0.4036850752029717, 'LL': -10.598207797126882, 'clock': 489.249472, 'outer_iter': 0, 'inner_iter': 9}
{'source': 'update w1 w2', 'w2': 0.50886903729384858, 'w1': 0.45762839722492255, 'time': 531.0849149227142, 'mean_alpha': 0.4036850752029717, 'LL': -10.58925124651957, 'clock': 531.106844, 'outer_iter': 0, 'inner_iter': 10}
{'source': 'update w1 w2', 'w2': 0.50969180503056277, 'w1': 0.45506792604427332, 'time': 572.9184610843658, 'mean_alpha': 0.4036850752029717, 'LL': -10.581163089211838, 'clock': 572.943381, 'outer_iter': 0, 'inner_iter': 11}
{'source': 'update w1 w2', 'w2': 0.5105637355341538, 'w1': 0.45262953099847281, 'time': 618.5260279178619, 'mean_alpha': 0.4036850752029717, 'LL': -10.573224486255384, 'clock': 618.553238, 'outer_iter': 0, 'inner_iter': 12}
{'source': 'update w1 w2', 'w2': 0.51132824262284482, 'w1': 0.45029788741126542, 'time': 661.07657289505, 'mean_alpha': 0.4036850752029717, 'LL': -10.565645710411481, 'clock': 661.106837, 'outer_iter': 0, 'inner_iter': 13}
{'source': 'update w1 w2', 'w2': 0.51218383114905652, 'w1': 0.44807038988406461, 'time': 703.5865240097046, 'mean_alpha': 0.4036850752029717, 'LL': -10.55839888786344, 'clock': 703.61981, 'outer_iter': 0, 'inner_iter': 14}
{'source': 'update w1 w2', 'w2': 0.51297037151274816, 'w1': 0.44593712502824784, 'time': 746.1557250022888, 'mean_alpha': 0.4036850752029717, 'LL': -10.55126037227744, 'clock': 746.191991, 'outer_iter': 0, 'inner_iter': 15}
{'source': 'update w1 w2', 'w2': 0.51376990992356264, 'w1': 0.44390851382555158, 'time': 788.7909970283508, 'mean_alpha': 0.4036850752029717, 'LL': -10.544600955600441, 'clock': 788.830293, 'outer_iter': 0, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 0.51455678995747522, 'w1': 0.44196295073384601, 'time': 831.3269128799438, 'mean_alpha': 0.4036850752029717, 'LL': -10.537847306080003, 'clock': 831.369283, 'outer_iter': 0, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 0.51534041149981991, 'w1': 0.44009726636534779, 'time': 873.8326389789581, 'mean_alpha': 0.4036850752029717, 'LL': -10.531575835335136, 'clock': 873.87796, 'outer_iter': 0, 'inner_iter': 18}
{'source': 'update w1 w2', 'w2': 0.51607071153279038, 'w1': 0.43831272960306622, 'time': 915.8244359493256, 'mean_alpha': 0.4036850752029717, 'LL': -10.525272386558367, 'clock': 915.872596, 'outer_iter': 0, 'inner_iter': 19}
{'source': 'update w1 w2', 'w2': 0.51682052806704271, 'w1': 0.43654667236175299, 'time': 957.8566739559174, 'mean_alpha': 0.4036850752029717, 'LL': -10.519300338350906, 'clock': 957.907814, 'outer_iter': 0, 'inner_iter': 20}
{'source': 'update w1 w2', 'w2': 0.51755850408089032, 'w1': 0.43489376064068469, 'time': 999.8269031047821, 'mean_alpha': 0.4036850752029717, 'LL': -10.513429695335745, 'clock': 999.880948, 'outer_iter': 0, 'inner_iter': 21}
{'source': 'update w1 w2', 'w2': 0.51831907717084036, 'w1': 0.43328044649027858, 'time': 1041.8649280071259, 'mean_alpha': 0.4036850752029717, 'LL': -10.507725536242564, 'clock': 1041.9218529999998, 'outer_iter': 0, 'inner_iter': 22}
{'source': 'update w1 w2', 'w2': 0.51899982424711888, 'w1': 0.43172403757656475, 'time': 1083.9886898994446, 'mean_alpha': 0.4036850752029717, 'LL': -10.502235842232462, 'clock': 1084.048548, 'outer_iter': 0, 'inner_iter': 23}
{'source': 'update w1 w2', 'w2': 0.51973106629883581, 'w1': 0.43021280400301659, 'time': 1125.9315071105957, 'mean_alpha': 0.4036850752029717, 'LL': -10.496772992835357, 'clock': 1125.9942369999999, 'outer_iter': 0, 'inner_iter': 24}
{'source': 'update w1 w2', 'w2': 0.5204213894112657, 'w1': 0.4287380540304922, 'time': 1167.9434809684753, 'mean_alpha': 0.4036850752029717, 'LL': -10.49162112345029, 'clock': 1168.0091499999999, 'outer_iter': 0, 'inner_iter': 25}
{'source': 'update w1 w2', 'w2': 0.52111243654148187, 'w1': 0.42734192496373996, 'time': 1209.8951709270477, 'mean_alpha': 0.4036850752029717, 'LL': -10.486376951583807, 'clock': 1209.9637679999998, 'outer_iter': 0, 'inner_iter': 26}
{'source': 'update w1 w2', 'w2': 0.52179505927041103, 'w1': 0.42595910961676714, 'time': 1251.880846977234, 'mean_alpha': 0.4036850752029717, 'LL': -10.48140763468712, 'clock': 1251.9523789999998, 'outer_iter': 0, 'inner_iter': 27}
{'source': 'update w1 w2', 'w2': 0.52245954480136536, 'w1': 0.42463584501457086, 'time': 1294.1335039138794, 'mean_alpha': 0.4036850752029717, 'LL': -10.476477409079166, 'clock': 1294.2079319999998, 'outer_iter': 0, 'inner_iter': 28}
{'source': 'update w1 w2', 'w2': 0.52314203738296783, 'w1': 0.42332278863474887, 'time': 1336.132977962494, 'mean_alpha': 0.4036850752029717, 'LL': -10.471689473364336, 'clock': 1336.210245, 'outer_iter': 0, 'inner_iter': 29}
{'source': 'update alpha beta', 'w2': 0.52314203738296783, 'w1': 0.42332278863474887, 'time': 1357.6580719947815, 'mean_alpha': 0.38884951007991336, 'LL': -10.493972259299564, 'clock': 1357.736731, 'outer_iter': 1, 'inner_iter': 0}
{'source': 'update alpha beta', 'w2': 0.52314203738296783, 'w1': 0.42332278863474887, 'time': 1379.2906029224396, 'mean_alpha': 0.38177653506203818, 'LL': -10.50505710667624, 'clock': 1379.3708199999999, 'outer_iter': 1, 'inner_iter': 1}
{'source': 'update alpha beta', 'w2': 0.52314203738296783, 'w1': 0.42332278863474887, 'time': 1400.8140211105347, 'mean_alpha': 0.37784063986523631, 'LL': -10.513554270094964, 'clock': 1400.895628, 'outer_iter': 1, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 0.52418061305062369, 'w1': 0.41942700588139936, 'time': 1443.1318418979645, 'mean_alpha': 0.37784063986523631, 'LL': -10.494139699725583, 'clock': 1443.2164389999998, 'outer_iter': 1, 'inner_iter': 0}
{'source': 'update w1 w2', 'w2': 0.52534901067673645, 'w1': 0.41537367584513168, 'time': 1485.5888350009918, 'mean_alpha': 0.37784063986523631, 'LL': -10.477691322040574, 'clock': 1485.6763429999999, 'outer_iter': 1, 'inner_iter': 1}
{'source': 'update w1 w2', 'w2': 0.52663486626526257, 'w1': 0.41174056316157387, 'time': 1527.907742023468, 'mean_alpha': 0.37784063986523631, 'LL': -10.463570435339363, 'clock': 1527.9982129999999, 'outer_iter': 1, 'inner_iter': 2}
{'source': 'update w1 w2', 'w2': 0.52795781384191931, 'w1': 0.40834576310505272, 'time': 1570.190593957901, 'mean_alpha': 0.37784063986523631, 'LL': -10.450306274918656, 'clock': 1570.2839339999998, 'outer_iter': 1, 'inner_iter': 3}
{'source': 'update w1 w2', 'w2': 0.52935906672685185, 'w1': 0.4053981864482773, 'time': 1612.5768411159515, 'mean_alpha': 0.37784063986523631, 'LL': -10.437540920766651, 'clock': 1612.673128, 'outer_iter': 1, 'inner_iter': 4}
{'source': 'update w1 w2', 'w2': 0.5306881963015303, 'w1': 0.40252510286766402, 'time': 1654.932848930359, 'mean_alpha': 0.37784063986523631, 'LL': -10.42622342145674, 'clock': 1655.0321219999998, 'outer_iter': 1, 'inner_iter': 5}
{'source': 'update w1 w2', 'w2': 0.53215878453682453, 'w1': 0.40004357613234082, 'time': 1697.4981598854065, 'mean_alpha': 0.37784063986523631, 'LL': -10.414542396428388, 'clock': 1697.600373, 'outer_iter': 1, 'inner_iter': 6}
{'source': 'update w1 w2', 'w2': 0.53350783388290646, 'w1': 0.39760374757975259, 'time': 1739.9036309719086, 'mean_alpha': 0.37784063986523631, 'LL': -10.403999875041741, 'clock': 1740.008676, 'outer_iter': 1, 'inner_iter': 7}
{'source': 'update w1 w2', 'w2': 0.53497980014871926, 'w1': 0.39537692681865105, 'time': 1782.2277100086212, 'mean_alpha': 0.37784063986523631, 'LL': -10.393883427564365, 'clock': 1782.335721, 'outer_iter': 1, 'inner_iter': 8}
{'source': 'update w1 w2', 'w2': 0.53623227294792808, 'w1': 0.39325402869797843, 'time': 1824.6472170352936, 'mean_alpha': 0.37784063986523631, 'LL': -10.384081972222447, 'clock': 1824.7581449999998, 'outer_iter': 1, 'inner_iter': 9}
{'source': 'update w1 w2', 'w2': 0.53768533686389985, 'w1': 0.39130522741683299, 'time': 1867.022381067276, 'mean_alpha': 0.37784063986523631, 'LL': -10.375122003107961, 'clock': 1867.136008, 'outer_iter': 1, 'inner_iter': 10}
{'source': 'update w1 w2', 'w2': 0.53890375247400701, 'w1': 0.38940004802649036, 'time': 1909.4228448867798, 'mean_alpha': 0.37784063986523631, 'LL': -10.365950272329293, 'clock': 1909.5394849999998, 'outer_iter': 1, 'inner_iter': 11}
{'source': 'update w1 w2', 'w2': 0.54026056664852207, 'w1': 0.38766371292994373, 'time': 1951.8782370090485, 'mean_alpha': 0.37784063986523631, 'LL': -10.357448816674783, 'clock': 1951.9978259999998, 'outer_iter': 1, 'inner_iter': 12}
{'source': 'update w1 w2', 'w2': 0.54150933024891768, 'w1': 0.38595336014392323, 'time': 1994.3177070617676, 'mean_alpha': 0.37784063986523631, 'LL': -10.349283077613251, 'clock': 1994.4401169999999, 'outer_iter': 1, 'inner_iter': 13}
{'source': 'update w1 w2', 'w2': 0.54275957752883852, 'w1': 0.38436186657320126, 'time': 2036.6649129390717, 'mean_alpha': 0.37784063986523631, 'LL': -10.341254127484241, 'clock': 2036.7903119999999, 'outer_iter': 1, 'inner_iter': 14}
{'source': 'update w1 w2', 'w2': 0.54397695560081605, 'w1': 0.38283538860013566, 'time': 2078.98513007164, 'mean_alpha': 0.37784063986523631, 'LL': -10.333859198166728, 'clock': 2079.1134500000003, 'outer_iter': 1, 'inner_iter': 15}
{'source': 'update w1 w2', 'w2': 0.54510345301811469, 'w1': 0.3813544566295895, 'time': 2121.327050924301, 'mean_alpha': 0.37784063986523631, 'LL': -10.326246108683854, 'clock': 2121.458259, 'outer_iter': 1, 'inner_iter': 16}
{'source': 'update w1 w2', 'w2': 0.54630099434918711, 'w1': 0.37998558563905682, 'time': 2163.7454040050507, 'mean_alpha': 0.37784063986523631, 'LL': -10.319073322144899, 'clock': 2163.879416, 'outer_iter': 1, 'inner_iter': 17}
{'source': 'update w1 w2', 'w2': 0.54740863785681027, 'w1': 0.37864686330882724, 'time': 2206.1275629997253, 'mean_alpha': 0.37784063986523631, 'LL': -10.312245450422985, 'clock': 2206.2642690000002, 'outer_iter': 1, 'inner_iter': 18}
{'source': 'update w1 w2', 'w2': 0.54855848948885766, 'w1': 0.37735935918749519, 'time': 2248.4816229343414, 'mean_alpha': 0.37784063986523631, 'LL': -10.305403383174141, 'clock': 2248.621205, 'outer_iter': 1, 'inner_iter': 19}
{'source': 'update w1 w2', 'w2': 0.54961940011710808, 'w1': 0.37609583855956374, 'time': 2290.905371904373, 'mean_alpha': 0.37784063986523631, 'LL': -10.298911462842518, 'clock': 2291.047879, 'outer_iter': 1, 'inner_iter': 20}
{'source': 'update w1 w2', 'w2': 0.55066106678377491, 'w1': 0.37492125893542927, 'time': 2333.227771997452, 'mean_alpha': 0.37784063986523631, 'LL': -10.292573414771738, 'clock': 2333.3731510000002, 'outer_iter': 1, 'inner_iter': 21}
{'source': 'update w1 w2', 'w2': 0.55170563711617904, 'w1': 0.37376878463755431, 'time': 2375.5847868919373, 'mean_alpha': 0.37784063986523631, 'LL': -10.286351347535295, 'clock': 2375.732967, 'outer_iter': 1, 'inner_iter': 22}
